TU_id	start	end	Direction	TU_genes	pathway_id	pathway_names
TU185E-6401	2652037	2653987	-	G185E-6599 ; G185E-6598		-
TU185E-5805	1349332	1354136	+	G185E-5380 ; G185E-5379 ; G185E-5378 ; G185E-5377 ; G185E-5376	PWY0-42 ; FAO-PWY ; PWY0-1337 ; PWY-5971 ; P221-PWY ; PWY-5989;FOLSYN-PWY ; PWY-6612 ; PWY-6614;PWY-6686 ; PWY-5662	stearate biosynthesis II (bacteria and plants);palmitate biosynthesis II (bacteria and plants);octane oxidation;2-methylcitrate cycle I;fatty acid &beta;-oxidation I;oleate &beta;-oxidation;superpathway of tetrahydrofolate biosynthesis;tetrahydrofolate biosynthesis;superpathway of tetrahydrofolate biosynthesis and salvage;glucosylglycerate biosynthesis I;mannosylglucosylglycerate biosynthesis I;-
TU185E-6766	3463973	3464449	+	G185E-7357		-
TU185E-7134	4265642	4273475	-	G185E-8105 ; G185E-8104 ; G185E-8103 ; G185E-8102 ; G185E-8101 ; G185E-8100	PWY-6404 ; PWY-6397; PWY-6397 ; PWY-6113 ; PWYG-321; PWY-7622 	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;;mycolate biosynthesis;superpathway of mycolate biosynthesis;superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;;UDP-&alpha;-D-galactofuranose biosynthesis;superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;
TU185E-6017	1875304	1891079	+	G185E-5854 ; G185E-5853 ; G185E-5852 ; G185E-5851		-
TU185E-5421	593871	595302	-	G185E-4636 ; G185E-4635	PWY-6113 ; PWYG-321	mycolate biosynthesis;superpathway of mycolate biosynthesis;-
TU185E-6385	2620533	2623752	-	G185E-6570 ; G185E-6569		-
TU185E-5789	1309005	1310452	+	G185E-5347 ; G185E-5346		-
TU185E-6750	3421741	3423213	-	G185E-7321		-
TU185E-7118	4215881	4216269	-	G185E-8063 ; G185E-8062		-
TU185E-6001	1825998	1827945	-	G185E-5813 ; G185E-5812		-
TU185E-5405	567921	569806	-	G185E-4608 ; G185E-4607		-
TU185E-6369	2591848	2596269	-	G185E-6547 ; G185E-6546 ; G185E-6545 ; G185E-6544 ; G185E-6543	PWY-3341	L-proline biosynthesis III;-
TU185E-5773	1270062	1271908	+	G185E-5311 ; G185E-5310	PWY-6947 ; PWY-6946	superpathway of cholesterol degradation II (cholesterol dehydrogenase);;-
TU185E-6734	3389101	3393201	+	G185E-7293 ; G185E-7292 ; G185E-7291 ; G185E-7290		-
TU185E-7102	4193391	4195373	-	G185E-8033		-
TU185E-5985	1784497	1786528	-	G185E-5772 ; G185E-5771 ; G185E-5770		-
TU185E-5389	547076	547517	-	G185E-4583 ; G185E-4582		-
TU185E-6353	2573015	2573707	+	G185E-6519		-
TU185E-5757	1232844	1236095	-	G185E-5274 ; G185E-5273 ; G185E-5272 ; G185E-5271	PWY-6945 ; PWY-6947 ; PWY-6946	superpathway of cholesterol degradation II (cholesterol dehydrogenase);;cholesterol degradation to androstenedione I (cholesterol oxidase);-
TU185E-6718	3355099	3356541	+	G185E-7254		-
TU185E-7086	4168536	4169300	+	G185E-8012		-
TU185E-5373	515373	515816	-	G185E-4551		-
TU185E-7718	43562	46471	+	G185E-4155	TRNA-CHARGING-PWY	tRNA charging
TU185E-6337	2546488	2547087	-	G185E-6492 ; G185E-6491		-
TU185E-5741	1214040	1214360	+	G185E-5250		-
TU185E-6702	3318330	3318815	-	G185E-7219		-
TU185E-7070	4138202	4139755	-	G185E-7981	PWY0-381-1 ; PWY-4261-1	glycerol degradation I;glycerol and glycerophosphodiester degradation
TU185E-5235	170284	171126	+	G185E-4261		-
TU185E-5357	468335	471230	+	G185E-4515 ; G185E-4514 ; G185E-4513	PWY-6277 ; PWY-6122	-;superpathway of 5-aminoimidazole ribonucleotide biosynthesis;5-aminoimidazole ribonucleotide biosynthesis II
TU185E-7702	164712	165260	-	G185E-4254		-
TU185E-6321	2522360	2523175	+	G185E-6464		-
TU185E-5725	1187435	1188393	+	G185E-5228 ; G185E-5227		-
TU185E-6689	3283335	3287832	+	G185E-7195 ; G185E-7194	PWY-7741 ; PWY-7746 ; PWY-7744 ; PWY-7743	mycobacterial sulfolipid biosynthesis;;phthiocerol biosynthesis;-
TU185E-7054	4112322	4114342	-	G185E-7955 ; G185E-7954		-
TU185E-5219	133950	136007	+	G185E-4228		-
TU185E-5341	439871	441253	+	G185E-4486		-
TU185E-7686	256064	257677	+	G185E-4334	PWY0-42 ; FAO-PWY ; PWY0-1337 ; PWY-5971 ; P221-PWY ; PWY-5989	stearate biosynthesis II (bacteria and plants);palmitate biosynthesis II (bacteria and plants);octane oxidation;2-methylcitrate cycle I;fatty acid &beta;-oxidation I;oleate &beta;-oxidation
TU185E-6305	2484584	2486987	+	G185E-6429 ; G185E-6428 ; G185E-6427		-
TU185E-5709	1164572	1165435	-	G185E-5201		-
TU185E-6673	3212162	3213854	-	G185E-7155 ; G185E-7154		-
TU185E-7038	4081516	4082721	-	G185E-7924		-
TU185E-5203	87208	88004	-	G185E-4195 ; G185E-4194		-
TU185E-7406	2535641	2536594	+	G185E-6480		-
TU185E-5325	389260	390591	+	G185E-4446	PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)
TU185E-7670	376573	377055	-	G185E-4430		-
TU185E-6289	2447605	2447994	-	G185E-6396		-
TU185E-5693	1131625	1133259	+	G185E-5171		-
TU185E-6657	3178458	3179312	-	G185E-7119		-
TU185E-7022	4055197	4056375	-	G185E-7895		-
TU185E-5187	58192	58482	+	G185E-4167		-
TU185E-7390	2698042	2698245	-	G185E-6631		-
TU185E-5309	363252	363778	+	G185E-4422 ; G185E-4421		-
TU185E-7654	474122	474841	-	G185E-4518		-
TU185E-6273	2421662	2422003	-	G185E-6369		-
TU185E-5677	1106405	1107382	-	G185E-5146		-
TU185E-6641	3138099	3142222	-	G185E-7086 ; G185E-7085 ; G185E-7084 ; G185E-7083		-
TU185E-7006	4028968	4029762	-	G185E-7865		-
TU185E-5171	31189	31819	+	G185E-4142 ; G185E-4141		-
TU185E-7374	2837684	2838157	+	G185E-6759		-
TU185E-5293	310294	312659	-	G185E-4382 ; G185E-4381 ; G185E-4380		-
TU185E-7638	676238	676996	+	G185E-4713		-
TU185E-6257	2390308	2392459	-	G185E-6336 ; G185E-6335	PWY1G-0	-
TU185E-5661	1069883	1073273	+	G185E-5114 ; G185E-5113		-
TU185E-6625	3105056	3107637	-	G185E-7047 ; G185E-7046 ; G185E-7045		-
TU185E-6990	3989153	3991523	+	G185E-7829 ; G185E-7828 ; G185E-7827	PWY-6947 ; PWY-6944	;superpathway of cholesterol degradation II (cholesterol dehydrogenase)
TU185E-382	817531	817866	-	G185E-4869	-	-
TU185E-7358	2985731	2986840	-	G185E-6918		-
TU185E-5277	277899	279529	+	G185E-4353 ; G185E-4352	PWY-7210 ; PWY-7229 ; PWY-7227 ; PWY-6126 ; PWY-7220 ; PWY-7211 ; PWY-7184 ; PWY-6545 ; PWY0-166 ; PWY-7228 ; PWY-6125 ; PWY-7226 ; PWY-7222	pyrimidine deoxyribonucleotides biosynthesis from CTP;guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II;guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I;;superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis;pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I;superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli);superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I;superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II;superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II;superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I;adenosine deoxyribonucleotides <i>de novo</i> biosynthesis;adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II;-
TU185E-7622	868407	869030	+	G185E-4923		-
TU185E-6241	2353365	2356677	-	G185E-6303 ; G185E-6302 ; G185E-6301	PWY-7893	protein Pupylation and dePupylation;-
TU185E-5645	1029513	1032633	-	G185E-5080 ; G185E-5079 ; G185E-5078		-
TU185E-6609	3078158	3078985	-	G185E-7018		-
TU185E-6606	3073130	3074471	-	G185E-7013 ; G185E-7012	FOLSYN-PWY ; PWY-6612 ; PWY-6614 ; 1CMET2-PWY;PWY-7211 ; PWY0-166 ; PWY-7200 ; PWY-7184 ; PWY-7187 ; PWY-7210 ; PWY-7199 	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;superpathway of tetrahydrofolate biosynthesis;tetrahydrofolate biosynthesis;superpathway of tetrahydrofolate biosynthesis and salvage;superpathway of pyrimidine deoxyribonucleoside salvage;pyrimidine deoxyribonucleotides biosynthesis from CTP;;<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis;pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I;superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)
TU185E-6971	3926569	3930714	+	G185E-7784		-
TU185E-7339	3111822	3112289	+	G185E-7053		-
TU185E-5258	222289	224664	+	G185E-4311 ; G185E-4310	PWY0-1586	-;peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
TU185E-7603	947641	948468	-	G185E-5005		-
TU185E-6222	2315174	2316709	+	G185E-6263		-
TU185E-5626	996524	997705	+	G185E-5048		-
TU185E-6590	3041570	3042475	-	G185E-6977		-
TU185E-6955	3883964	3884917	+	G185E-7744		-
TU185E-7323	3346147	3346848	+	G185E-7244		-
TU185E-7587	1060656	1061654	-	G185E-5105		-
TU185E-6206	2260665	2261688	+	G185E-6216 ; G185E-6215		-
TU185E-5610	955077	958455	+	G185E-5014 ; G185E-5013	PWY0-1337 ; FAO-PWY;FAO-PWY	fatty acid &beta;-oxidation I;oleate &beta;-oxidation;fatty acid &beta;-oxidation I
TU185E-6574	3016858	3017655	+	G185E-6950		-
TU185E-6939	3860024	3861370	-	G185E-7718	PWY-6404 ; UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I;superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
TU185E-7307	3436779	3438053	+	G185E-7336		-
TU185E-7571	1176011	1176286	-	G185E-5214		-
TU185E-6190	2234305	2234891	-	G185E-6193 ; G185E-6192		-
TU185E-5594	921575	921865	+	G185E-4979		-
TU185E-6558	2984733	2985753	+	G185E-6917 ; G185E-6916		-
TU185E-5961	1731373	1733039	+	G185E-5719 ; G185E-5718		-
TU185E-6923	3828783	3831519	-	G185E-7688 ; G185E-7687	PWY-7228 ; PWY-6125 ; PWY-7221 ; PWY-5695	guanosine ribonucleotides <i>de novo</i> biosynthesis;inosine 5'-phosphate degradation;superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I;superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II
TU185E-7291	3544344	3545300	-	G185E-7441		-
TU185E-7555	1283693	1283815	+	G185E-5325		-
TU185E-6174	2203681	2204225	-	G185E-6158 ; G185E-6157		-
TU185E-5578	898831	899787	+	G185E-4954		-
TU185E-6542	2965939	2966397	+	G185E-6885		-
TU185E-5945	1692924	1693823	+	G185E-5688		-
TU185E-6907	3795100	3796361	-	G185E-7657 ; G185E-7656		-
TU185E-7275	3639872	3640141	-	G185E-7534		-
TU185E-7539	1384989	1386677	-	G185E-5414		-
TU185E-6158	2160463	2162762	+	G185E-6113 ; G185E-6112	GLYOXYLATE-BYPASS ; PWY-6969	;glyoxylate cycle
TU185E-5562	860912	863158	+	G185E-4917 ; G185E-4916		-
TU185E-6526	2948636	2949457	+	G185E-6866		-
TU185E-5929	1656963	1658936	+	G185E-5652		-
TU185E-6891	3767346	3768140	-	G185E-7627		-
TU185E-7259	3807574	3808437	-	G185E-7668	PWY0-541 ; PWY-6113 ; PWYG-321	mycolate biosynthesis;superpathway of mycolate biosynthesis;cyclopropane fatty acid (CFA) biosynthesis
TU185E-7523	1580591	1581073	+	G185E-5587		-
TU185E-6142	2131907	2135867	-	G185E-6081 ; G185E-6080 ; G185E-6079 ; G185E-6078 ; G185E-6077 ; G185E-6076	PWY-6404 ; PWY-6397 ; PWY-6113 ; PWYG-321;PWY-6630 ; TYRSYN ; PHESYN	mycolate biosynthesis;superpathway of mycolate biosynthesis;superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;;-;L-phenylalanine biosynthesis I;L-tyrosine biosynthesis I;superpathway of L-tyrosine biosynthesis
TU185E-5546	831776	832303	+	G185E-4885		-
TU185E-6510	2911004	2915736	-	G185E-6829 ; G185E-6828 ; G185E-6827		-
TU185E-5913	1594042	1598883	+	G185E-5606 ; G185E-5605 ; G185E-5604 ; G185E-5603		-
TU185E-6875	3708438	3710379	-	G185E-7600 ; G185E-7599 ; G185E-7598 ; G185E-7597	PWY-6823	molybdenum cofactor biosynthesis;-
TU185E-7243	3950824	3952470	-	G185E-7792	PWY-6947 ; PWY-6945 ; PWY-6946	superpathway of cholesterol degradation II (cholesterol dehydrogenase);;cholesterol degradation to androstenedione I (cholesterol oxidase)
TU185E-7507	1681208	1681966	-	G185E-5676		-
TU185E-6126	2107736	2108713	+	G185E-6055		-
TU185E-5530	802528	806166	+	G185E-4854 ; G185E-4853 ; G185E-4852 ; G185E-4851 ; G185E-4850 ; G185E-4849 ; G185E-4848		-
TU185E-6494	2869727	2870364	-	G185E-6790 ; G185E-6789		-
TU185E-5898	1564401	1565027	+	G185E-5572	PWY-7228 ; PWY-6125 ; PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis;superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I;superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II
TU185E-6859	3668169	3669388	-	G185E-7561 ; G185E-7560		-
TU185E-7227	4072667	4073611	-	G185E-7913	PWY-5512 ; PWY-7622 ; PWY-6404 ; PWY-6317 ; PWY-7344 ; PWY-6397	D-galactose degradation I (Leloir pathway);UDP-&alpha;-D-galactofuranose biosynthesis;;UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I;superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
TU185E-7491	1854399	1855454	-	G185E-5835		-
TU185E-6110	2072596	2073824	+	G185E-6023 ; G185E-6022		-
TU185E-5514	775586	778905	-	G185E-4820 ; G185E-4819		-
TU185E-6478	2832710	2833761	-	G185E-6754 ; G185E-6753		-
TU185E-5882	1525293	1526216	-	G185E-5537		-
TU185E-6843	3628160	3629647	-	G185E-7522	METHIONINE-DEG1-PWY ; PWY-5041	<i>S</i>-adenosyl-L-methionine cycle II;L-methionine degradation I (to L-homocysteine)
TU185E-7211	4205538	4205840	+	G185E-8051		-
TU185E-7475	2014699	2015262	+	G185E-5976		-
TU185E-6094	2047687	2048034	-	G185E-6000		-
TU185E-5498	735517	736224	+	G185E-4784		-
TU185E-6462	2786575	2792494	-	G185E-6719 ; G185E-6718 ; G185E-6717 ; G185E-6716	PWY4FS-8 ; PWY-5667 ; PWY4FS-7 ; PWY0-1319	phosphatidylglycerol biosynthesis I (plastidic);phosphatidylglycerol biosynthesis II (non-plastidic);CDP-diacylglycerol biosynthesis II;CDP-diacylglycerol biosynthesis I;-
TU185E-5866	1479199	1480824	-	G185E-5496		-
TU185E-6827	3600801	3601019	+	G185E-7498		-
TU185E-7195	4314798	4314891	+	G185E-8139		-
TU185E-7459	2177087	2178949	+	G185E-6122	PWY0-42 ; FAO-PWY ; PWY0-1337 ; PWY-5971 ; P221-PWY ; PWY-5989	stearate biosynthesis II (bacteria and plants);palmitate biosynthesis II (bacteria and plants);octane oxidation;2-methylcitrate cycle I;fatty acid &beta;-oxidation I;oleate &beta;-oxidation
TU185E-6078	2024828	2025031	+	G185E-5981		-
TU185E-5482	711536	713807	+	G185E-4758 ; G185E-4757 ; G185E-4756	PWY-6317	D-galactose degradation I (Leloir pathway)
TU185E-6446	2756936	2759488	-	G185E-6689 ; G185E-6688		-
TU185E-5850	1445499	1445834	-	G185E-5464		-
TU185E-6811	3564364	3566687	+	G185E-7463 ; G185E-7462		-
TU185E-7179	4383008	4383985	-	G185E-8196 ; G185E-8195		-
TU185E-7443	2291269	2291925	+	G185E-6249		-
TU185E-6062	1981614	1984775	-	G185E-5948		-
TU185E-5466	694839	695485	-	G185E-4731 ; G185E-4730		-
TU185E-6430	2724230	2725477	-	G185E-6657	PROSYN-PWY	L-proline biosynthesis I
TU185E-5834	1411894	1413087	+	G185E-5435		-
TU185E-6795	3539846	3540745	-	G185E-7436		-
TU185E-7163	4341566	4348724	+	G185E-8168 ; G185E-8167 ; G185E-8166 ; G185E-8165 ; G185E-8164 ; G185E-8163		-
TU185E-7427	2387202	2387972	-	G185E-6332		-
TU185E-6046	1955692	1957245	-	G185E-5924		-
TU185E-5450	652771	653778	+	G185E-4695		-
TU185E-6414	2692224	2692439	+	G185E-6623		-
TU185E-5818	1376230	1376826	-	G185E-5404		-
TU185E-6779	3489506	3490375	+	G185E-7388		-
TU185E-7147	4311009	4312669	-	G185E-8134 ; G185E-8133	PHESYN;GLYCOLYSIS	L-phenylalanine biosynthesis I;glycolysis I (from glucose 6-phosphate)
TU185E-6030	1912979	1914876	+	G185E-5879 ; G185E-5878	TRNA-CHARGING-PWY	-;tRNA charging
TU185E-5434	622793	624577	+	G185E-4665		-
TU185E-6398	2646747	2647088	-	G185E-6591		-
TU185E-5802	1341006	1341290	+	G185E-5368		-
TU185E-6763	3448504	3457272	+	G185E-7351 ; G185E-7350 ; G185E-7349 ; G185E-7348 ; G185E-7347 ; G185E-7346 ; G185E-7345	PWY66-21 ; PWY-5486 ; ETOH-ACETYLCOA-ANA-PWY;PWY0-42 ; FAO-PWY ; PWY0-1337 ; PWY-5971 ; P221-PWY ; PWY-5989;PWY-7895	pyruvate fermentation to ethanol II;ethanol degradation I;ethanol degradation II;stearate biosynthesis II (bacteria and plants);palmitate biosynthesis II (bacteria and plants);octane oxidation;2-methylcitrate cycle I;fatty acid &beta;-oxidation I;oleate &beta;-oxidation;-;ethionamide activation
TU185E-7131	4252993	4254327	+	G185E-8094		-
TU185E-6014	1858733	1862253	+	G185E-5840 ; G185E-5839	TRNA-CHARGING-PWY	tRNA charging
TU185E-5418	591111	591347	+	G185E-4631		-
TU185E-6382	2619407	2619479	-	G185E-6566	TRNA-CHARGING-PWY ; PWY490-4 ; PWY0-1479	tRNA charging;L-asparagine biosynthesis III (tRNA-dependent)
TU185E-5786	1301307	1301747	+	G185E-5340		-
TU185E-6747	3416081	3417745	+	G185E-7317 ; G185E-7316		-
TU185E-7115	4214070	4214429	+	G185E-8059		-
TU185E-5998	1818575	1820029	+	G185E-5807		-
TU185E-5402	565021	565443	+	G185E-4602		-
TU185E-6366	2584486	2584755	+	G185E-6536		-
TU185E-5770	1264606	1264947	+	G185E-5303	PWY-6947 ; PWY-6944 ; VALDEG-PWY ; PWY0-1337 ; FAO-PWY	L-valine degradation I;fatty acid &beta;-oxidation I;oleate &beta;-oxidation;;superpathway of cholesterol degradation II (cholesterol dehydrogenase)
TU185E-6731	3382785	3385066	-	G185E-7285 ; G185E-7284	PWY0-1021 ; PWY-6823 ; PWY-7250	molybdenum cofactor biosynthesis;L-alanine biosynthesis III;[2Fe-2S] iron-sulfur cluster biosynthesis;-
TU185E-7099	4189285	4190232	-	G185E-8028		-
TU185E-5982	1780643	1782584	-	G185E-5765 ; G185E-5764		-
TU185E-5386	544835	545185	+	G185E-4579		-
TU185E-6350	2569082	2570053	+	G185E-6516		-
TU185E-5754	1230660	1231291	-	G185E-5268 ; G185E-5267		-
TU185E-6715	3344033	3346075	-	G185E-7243 ; G185E-7242	BRANCHED-CHAIN-AA-SYN-PWY ; LEUSYN-PWY	superpathway of branched chain amino acid biosynthesis;L-leucine biosynthesis
TU185E-7083	4164995	4166731	-	G185E-8008		-
TU185E-5248	194993	196657	+	G185E-4284	PWY0-42 ; FAO-PWY ; PWY0-1337 ; PWY-5971 ; P221-PWY ; PWY-5989	stearate biosynthesis II (bacteria and plants);palmitate biosynthesis II (bacteria and plants);octane oxidation;2-methylcitrate cycle I;fatty acid &beta;-oxidation I;oleate &beta;-oxidation
TU185E-5370	507132	510225	-	G185E-4548 ; G185E-4547 ; G185E-4546		-
TU185E-7715	86528	87133	+	G185E-4193		-
TU185E-6334	2544698	2545225	+	G185E-6487		-
TU185E-5738	1206520	1209657	+	G185E-5246 ; G185E-5245 ; G185E-5244	PWY1G-1	-
TU185E-6699	3312953	3313201	-	G185E-7214		-
TU185E-7067	4130357	4132392	+	G185E-7975 ; G185E-7974		-
TU185E-5232	161771	162673	+	G185E-4251		-
TU185E-5354	463411	466668	+	G185E-4510		-
TU185E-7699	168704	170182	-	G185E-4260		-
TU185E-6318	2515304	2516548	+	G185E-6457		-
TU185E-5722	1183508	1185740	+	G185E-5224 ; G185E-5223 ; G185E-5222		-
TU185E-6686	3241222	3241959	-	G185E-7180		-
TU185E-7051	4100669	4100968	+	G185E-7944		-
TU185E-5216	130895	131104	-	G185E-4225		-
TU185E-5338	434830	436769	-	G185E-4481 ; G185E-4480	PWY-7229 ; PWY-6126 ; PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis;superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II;superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I;-
TU185E-7683	259923	260831	-	G185E-4337		-
TU185E-6302	2476042	2477181	-	G185E-6421	1CMET2-PWY ; GLYCLEAV-PWY	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;glycine cleavage
TU185E-5706	1160544	1161151	-	G185E-5198 ; G185E-5197		-
TU185E-6670	3204381	3208328	-	G185E-7150 ; G185E-7149 ; G185E-7148 ; G185E-7147		-
TU185E-7035	4078520	4079749	-	G185E-7919		-
TU185E-5200	82748	85168	+	G185E-4190 ; G185E-4189		-
TU185E-7403	2554938	2555876	-	G185E-6500		-
TU185E-5322	386204	387099	-	G185E-4442 ; G185E-4441	PWY0-1479 ; TRNA-CHARGING-PWY	tRNA charging;-
TU185E-7667	390580	391251	-	G185E-4447		-
TU185E-6286	2444586	2445329	-	G185E-6392	PWY4FS-8 ; PWY-5667 ; PWY4FS-7 ; PWY0-1319	phosphatidylglycerol biosynthesis I (plastidic);phosphatidylglycerol biosynthesis II (non-plastidic);CDP-diacylglycerol biosynthesis II;CDP-diacylglycerol biosynthesis I
TU185E-5690	1128091	1129179	+	G185E-5167		-
TU185E-6654	3174059	3174643	-	G185E-7113		-
TU185E-7019	4053518	4054042	-	G185E-7892 ; G185E-7891		-
TU185E-5184	51828	52697	-	G185E-4162		-
TU185E-7387	2704009	2704437	-	G185E-6636		-
TU185E-5306	353083	356875	+	G185E-4415 ; G185E-4414 ; G185E-4413		-
TU185E-7651	499713	500366	+	G185E-4538	PWY-6502	oxidized GTP and dGTP detoxification
TU185E-6270	2406118	2409524	-	G185E-6358 ; G185E-6357 ; G185E-6356 ; G185E-6355		-
TU185E-5674	1096822	1099022	+	G185E-5139 ; G185E-5138		-
TU185E-6638	3132892	3133539	-	G185E-7075		-
TU185E-7003	4023868	4025544	-	G185E-7861 ; G185E-7860 ; G185E-7859		-
TU185E-5168	27023	27442	-	G185E-4136		-
TU185E-7371	2860452	2861144	+	G185E-6775		-
TU185E-5290	302173	302652	-	G185E-4373		-
TU185E-7635	679229	681862	+	G185E-4718		-
TU185E-6254	2379245	2379727	-	G185E-6326		-
TU185E-5658	1061964	1064051	+	G185E-5107 ; G185E-5106	PWY-6969	
TU185E-6622	3096959	3097645	+	G185E-7037		-
TU185E-6987	3985557	3986732	+	G185E-7823	PWY-6947 ; PWY-6945 ; PWY-6946	superpathway of cholesterol degradation II (cholesterol dehydrogenase);;cholesterol degradation to androstenedione I (cholesterol oxidase)
TU185E-1516	3189583	3190152	-	G185E-7131	-	-
TU185E-7355	3014173	3014658	+	G185E-6946		-
TU185E-5274	269834	272839	-	G185E-4347 ; G185E-4346		-
TU185E-7619	876818	878440	-	G185E-4931		-
TU185E-6238	2348558	2349292	-	G185E-6297		-
TU185E-5642	1025321	1025393	-	G185E-5074	PWY0-1479 ; TRNA-CHARGING-PWY	tRNA charging
TU185E-6235	2343311	2343916	+	G185E-6292		-
TU185E-5639	1020058	1021643	-	G185E-5070 ; G185E-5069		-
TU185E-6603	3067193	3067945	-	G185E-7003	PWY-6545	
TU185E-6968	3910465	3920861	-	G185E-7778 ; G185E-7777 ; G185E-7776 ; G185E-7775 ; G185E-7774 ; G185E-7773 ; G185E-7772 ; G185E-7771 ; G185E-7770 ; G185E-7769		-
TU185E-7336	3175454	3177265	-	G185E-7116		-
TU185E-5255	218705	219367	+	G185E-4306		-
TU185E-7600	953727	954920	-	G185E-5012	DAPLYSINESYN-PWY	
TU185E-6219	2308131	2310755	-	G185E-6255	PWY-7885	phosphatidylinositol mannoside biosynthesis
TU185E-5623	982762	985530	+	G185E-5040 ; G185E-5039		-
TU185E-6587	3034635	3036102	+	G185E-6971 ; G185E-6970		-
TU185E-6952	3880907	3881764	+	G185E-7740		-
TU185E-7320	3351269	3352606	+	G185E-7251		-
TU185E-7584	1094886	1095059	+	G185E-5136		-
TU185E-6203	2256617	2257942	-	G185E-6210		-
TU185E-5607	944938	947644	+	G185E-5004 ; G185E-5003 ; G185E-5002		-
TU185E-6571	3010697	3011767	-	G185E-6942 ; G185E-6941		-
TU185E-6936	3855015	3856889	-	G185E-7713	PWY-6404 ; UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I;superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
TU185E-7304	3447404	3448426	-	G185E-7344		-
TU185E-7568	1236185	1237192	+	G185E-5275		-
TU185E-6187	2231680	2232219	+	G185E-6188		-
TU185E-5591	917734	918750	-	G185E-4973	PWY-5366	palmitoleate biosynthesis II (plants and bacteria)
TU185E-6555	2981853	2982351	+	G185E-6912 ; G185E-6911		-
TU185E-5958	1720780	1728409	-	G185E-5715 ; G185E-5714		-
TU185E-6920	3824702	3825268	-	G185E-7682		-
TU185E-7288	3559563	3560024	+	G185E-7459		-
TU185E-7552	1286284	1286568	-	G185E-5328		-
TU185E-6171	2201719	2202096	+	G185E-6153		-
TU185E-5575	891472	893273	-	G185E-4948 ; G185E-4947		-
TU185E-6539	2964405	2964851	+	G185E-6882		-
TU185E-5942	1690134	1690346	-	G185E-5684		-
TU185E-6904	3787726	3790048	+	G185E-7651 ; G185E-7650 ; G185E-7649	PWY-6947 ; PWY-6944 ; VALDEG-PWY ; PWY0-1337 ; FAO-PWY;PWY0-1337 	-;L-valine degradation I;fatty acid &beta;-oxidation I;oleate &beta;-oxidation;;superpathway of cholesterol degradation II (cholesterol dehydrogenase);fatty acid &beta;-oxidation I;oleate &beta;-oxidation
TU185E-7272	3675186	3675995	-	G185E-7568		-
TU185E-7536	1413094	1413224	-	G185E-5436		-
TU185E-6155	2156706	2157299	-	G185E-6107		-
TU185E-5559	853825	854157	-	G185E-4907		-
TU185E-6523	2935046	2936788	+	G185E-6851		-
TU185E-5926	1653231	1653578	+	G185E-5649		-
TU185E-6888	3743711	3753184	-	G185E-7623		-
TU185E-7256	3831726	3832136	+	G185E-7689		-
TU185E-7520	1599658	1601037	+	G185E-5608		-
TU185E-6139	2125904	2127967	+	G185E-6072		-
TU185E-5543	829207	829704	+	G185E-4882		-
TU185E-6507	2898043	2900220	+	G185E-6817 ; G185E-6816 ; G185E-6815	PANTO-PWY	phosphopantothenate biosynthesis I;-
TU185E-5910	1589386	1590292	+	G185E-5597 ; G185E-5596		-
