Locus	Name	Product	type	start	end	strand	snpEff_locus_id
Rv1465	Rv1465	Possible nitrogen fixation related protein	CDS	1652768	1653256	+	CDS_NC_000962.3_1652768_1653256
Rv1638A	Rv1638A	Conserved hypothetical protein	CDS	1846716	1846973	-	CDS_NC_000962.3_1846716_1846973
Rv1437	pgk	Probable phosphoglycerate kinase Pgk	CDS	1614329	1615567	+	CDS_NC_000962.3_1614329_1615567
Rv1438	tpi	Probable triosephosphate isomerase Tpi (TIM)	CDS	1615564	1616349	+	CDS_NC_000962.3_1615564_1616349
Rv1440	secG	Probable protein-export membrane protein (translocase subunit) SecG	CDS	1617837	1618070	+	CDS_NC_000962.3_1617837_1618070
Rv1441c	PE_PGRS26	PE-PGRS family protein PE_PGRS26	CDS	1618209	1619684	-	CDS_NC_000962.3_1618209_1619684
Rv1442	bisC	Probable biotin sulfoxide reductase BisC (BDS reductase) (BSO reductase)	CDS	1619791	1622091	+	CDS_NC_000962.3_1619791_1622091
Rv1443c	Rv1443c	Unknown protein	CDS	1622207	1622692	-	CDS_NC_000962.3_1622207_1622692
Rv1446c	opcA	Putative OXPP cycle protein OpcA	CDS	1624454	1625365	-	CDS_NC_000962.3_1624454_1625365
Rv1448c	tal	Probable transaldolase Tal	CDS	1626959	1628080	-	CDS_NC_000962.3_1626959_1628080
Rv1450c	PE_PGRS27	PE-PGRS family protein PE_PGRS27	CDS	1630638	1634627	-	CDS_NC_000962.3_1630638_1634627
Rv1451	ctaB	Probable cytochrome C oxidase assembly factor CtaB	CDS	1635029	1635955	+	CDS_NC_000962.3_1635029_1635955
Rv1470	trxA	Probable thioredoxin TrxA	CDS	1658980	1659354	+	CDS_NC_000962.3_1658980_1659354
Rv1453	Rv1453	Possible transcriptional activator protein	CDS	1638381	1639646	+	CDS_NC_000962.3_1638381_1639646
Rv1454c	qor	Probable quinone reductase Qor (NADPH:quinone reductase) (zeta-crystallin homolog protein)	CDS	1639674	1640660	-	CDS_NC_000962.3_1639674_1640660
Rv1456c	Rv1456c	Probable unidentified antibiotic-transport integral membrane ABC transporter	CDS	1641493	1642425	-	CDS_NC_000962.3_1641493_1642425
Rv1457c	Rv1457c	Probable unidentified antibiotic-transport integral membrane ABC transporter	CDS	1642537	1643322	-	CDS_NC_000962.3_1642537_1643322
Rv1458c	Rv1458c	Probable unidentified antibiotic-transport ATP-binding protein ABC transporter	CDS	1643319	1644260	-	CDS_NC_000962.3_1643319_1644260
Rv1932	tpx	Probable thiol peroxidase Tpx	CDS	2183372	2183869	+	CDS_NC_000962.3_2183372_2183869
Rv1466	Rv1466	Conserved protein	CDS	1653231	1653578	+	CDS_NC_000962.3_1653231_1653578
Rv1460	Rv1460	Probable transcriptional regulatory protein	CDS	1646186	1646992	+	CDS_NC_000962.3_1646186_1646992
Rv1462	Rv1462	Conserved hypothetical protein	CDS	1649526	1650719	+	CDS_NC_000962.3_1649526_1650719
Rv1463	Rv1463	Probable conserved ATP-binding protein ABC transporter	CDS	1650716	1651516	+	CDS_NC_000962.3_1650716_1651516
Rv1468c	PE_PGRS29	PE-PGRS family protein PE_PGRS29	CDS	1655609	1656721	-	CDS_NC_000962.3_1655609_1656721
Rv1479	moxR1	Probable transcriptional regulatory protein MoxR1	CDS	1669283	1670416	+	CDS_NC_000962.3_1669283_1670416
Rv1481	Rv1481	Probable membrane protein	CDS	1671377	1672384	+	CDS_NC_000962.3_1671377_1672384
Rv1507A	Rv1507A	Hypothetical protein	CDS	1697356	1697859	+	CDS_NC_000962.3_1697356_1697859
Rv1558	Rv1558	Conserved protein	CDS	1762947	1763393	+	CDS_NC_000962.3_1762947_1763393
Rv1473	Rv1473	Probable macrolide-transport ATP-binding protein ABC transporter	CDS	1660656	1662284	+	CDS_NC_000962.3_1660656_1662284
Rv1475c	acn	Probable iron-regulated aconitate hydratase Acn (citrate hydro-lyase) (aconitase)	CDS	1663215	1666046	-	CDS_NC_000962.3_1663215_1666046
Rv1476	Rv1476	Possible membrane protein	CDS	1666204	1666764	+	CDS_NC_000962.3_1666204_1666764
Rv1546	Rv1546	Conserved protein	CDS	1747195	1747626	+	CDS_NC_000962.3_1747195_1747626
Rv1893	Rv1893	Conserved hypothetical protein	CDS	2140486	2140704	+	CDS_NC_000962.3_2140486_2140704
Rv1478	Rv1478	Possible invasion protein	CDS	1668419	1669144	+	CDS_NC_000962.3_1668419_1669144
Rv1480	Rv1480	Conserved protein	CDS	1670413	1671366	+	CDS_NC_000962.3_1670413_1671366
Rv1483	fabG1	3-oxoacyl-[acyl-carrier protein] reductase FabG1 (3-ketoacyl-acyl carrier protein reductase) (mycolic acid biosynthesis a protein)	CDS	1673440	1674183	+	CDS_NC_000962.3_1673440_1674183
Rv1556	Rv1556	Possible regulatory protein	CDS	1760997	1761605	+	CDS_NC_000962.3_1760997_1761605
Rv1571	Rv1571	Conserved protein	CDS	1778539	1779048	+	CDS_NC_000962.3_1778539_1779048
Rv1489A	Rv1489A	Conserved protein	CDS	1678942	1679172	+	CDS_NC_000962.3_1678942_1679172
Rv1485	hemZ	Ferrochelatase HemZ (protoheme ferro-lyase) (heme synthetase)	CDS	1675017	1676051	+	CDS_NC_000962.3_1675017_1676051
Rv1486c	Rv1486c	Conserved hypothetical protein	CDS	1676017	1676883	-	CDS_NC_000962.3_1676017_1676883
Rv1498A	Rv1498A	Conserved protein	CDS	1690134	1690346	-	CDS_NC_000962.3_1690134_1690346
Rv1924c	Rv1924c	Unknown protein	CDS	2176550	2176930	-	CDS_NC_000962.3_2176550_2176930
Rv1493	mutB	Probable methylmalonyl-CoA mutase large subunit MutB (MCM)	CDS	1684005	1686257	+	CDS_NC_000962.3_1684005_1686257
Rv1494	mazE4	Possible antitoxin MazE4	CDS	1686271	1686573	+	CDS_NC_000962.3_1686271_1686573
Rv1496	Rv1496	Possible transport system kinase	CDS	1686884	1687888	+	CDS_NC_000962.3_1686884_1687888
Rv1497	lipL	Probable esterase LipL	CDS	1687941	1689230	+	CDS_NC_000962.3_1687941_1689230
Rv1498c	Rv1498c	Probable methyltransferase	CDS	1689303	1689920	-	CDS_NC_000962.3_1689303_1689920
Rv1591	Rv1591	Probable transmembrane protein	CDS	1791570	1792235	+	CDS_NC_000962.3_1791570_1792235
Rv1501	Rv1501	Conserved hypothetical protein	CDS	1691890	1692711	+	CDS_NC_000962.3_1691890_1692711
Rv1502	Rv1502	Hypothetical protein	CDS	1692924	1693823	+	CDS_NC_000962.3_1692924_1693823
Rv1503c	Rv1503c	Conserved hypothetical protein	CDS	1693996	1694544	-	CDS_NC_000962.3_1693996_1694544
Rv1504c	Rv1504c	Conserved hypothetical protein	CDS	1694545	1695144	-	CDS_NC_000962.3_1694545_1695144
Rv1508c	Rv1508c	Probable membrane protein	CDS	1698095	1699894	-	CDS_NC_000962.3_1698095_1699894
Rv1533	Rv1533	Conserved protein	CDS	1733610	1734737	+	CDS_NC_000962.3_1733610_1734737
Rv1975	Rv1975	Conserved hypothetical protein	CDS	2218052	2218717	+	CDS_NC_000962.3_2218052_2218717
Rv3656c	Rv3656c	Conserved hypothetical protein	CDS	4095324	4095530	-	CDS_NC_000962.3_4095324_4095530
Rv1513	Rv1513	Conserved protein	CDS	1705058	1705789	+	CDS_NC_000962.3_1705058_1705789
Rv1514c	Rv1514c	Conserved hypothetical protein	CDS	1705807	1706595	-	CDS_NC_000962.3_1705807_1706595
Rv1515c	Rv1515c	Conserved hypothetical protein	CDS	1706630	1707526	-	CDS_NC_000962.3_1706630_1707526
Rv1516c	Rv1516c	Probable sugar transferase	CDS	1707529	1708539	-	CDS_NC_000962.3_1707529_1708539
Rv1517	Rv1517	Conserved hypothetical transmembrane protein	CDS	1708871	1709635	+	CDS_NC_000962.3_1708871_1709635
Rv1518	Rv1518	Conserved hypothetical protein	CDS	1709644	1710603	+	CDS_NC_000962.3_1709644_1710603
Rv1519	Rv1519	Conserved hypothetical protein	CDS	1710733	1711002	+	CDS_NC_000962.3_1710733_1711002
Rv1520	Rv1520	Probable sugar transferase	CDS	1711028	1712068	+	CDS_NC_000962.3_1711028_1712068
Rv1523	Rv1523	Probable methyltransferase	CDS	1717653	1718696	+	CDS_NC_000962.3_1717653_1718696
Rv1524	Rv1524	Probable glycosyltransferase	CDS	1718726	1719970	+	CDS_NC_000962.3_1718726_1719970
Rv1525	wbbL2	Possible rhamnosyl transferase WbbL2	CDS	1720017	1720802	+	CDS_NC_000962.3_1720017_1720802
Rv1530	adh	Probable alcohol dehydrogenase Adh	CDS	1731373	1732476	+	CDS_NC_000962.3_1731373_1732476
Rv1976c	Rv1976c	Conserved hypothetical protein	CDS	2218844	2219251	-	CDS_NC_000962.3_2218844_2219251
Rv1527c	pks5	Probable polyketide synthase Pks5	CDS	1722083	1728409	-	CDS_NC_000962.3_1722083_1728409
Rv1528c	papA4	Probable conserved polyketide synthase associated protein PapA4	CDS	1728953	1729450	-	CDS_NC_000962.3_1728953_1729450
Rv1529	fadD24	Probable fatty-acid-AMP ligase FadD24 (fatty-acid-AMP synthetase) (fatty-acid-AMP synthase)	CDS	1729502	1731256	+	CDS_NC_000962.3_1729502_1731256
Rv1531	Rv1531	Conserved protein	CDS	1732473	1733039	+	CDS_NC_000962.3_1732473_1733039
Rv1534	Rv1534	Probable transcriptional regulator	CDS	1734734	1735411	+	CDS_NC_000962.3_1734734_1735411
Rv1536	ileS	Isoleucyl-tRNA synthetase IleS	CDS	1736519	1739644	+	CDS_NC_000962.3_1736519_1739644
Rv1538c	ansA	Probable L-aparaginase AnsA	CDS	1741212	1742192	-	CDS_NC_000962.3_1741212_1742192
Rv1539	lspA	Probable lipoprotein signal peptidase LspA	CDS	1742244	1742852	+	CDS_NC_000962.3_1742244_1742852
Rv1540	Rv1540	Conserved hypothetical protein member of yabO/yceC/yfiI family	CDS	1742845	1743771	+	CDS_NC_000962.3_1742845_1743771
Rv1543	Rv1543	Possible fatty acyl-CoA reductase	CDS	1745064	1746089	+	CDS_NC_000962.3_1745064_1746089
Rv1544	Rv1544	Possible ketoacyl reductase	CDS	1746094	1746897	+	CDS_NC_000962.3_1746094_1746897
Rv1545	Rv1545	Hypothetical protein	CDS	1746919	1747146	+	CDS_NC_000962.3_1746919_1747146
Rv1575	Rv1575	Probable PhiRv1 phage protein	CDS	1780199	1780699	+	CDS_NC_000962.3_1780199_1780699
Rv1551	plsB1	Possible acyltransferase PlsB1	CDS	1755445	1757310	+	CDS_NC_000962.3_1755445_1757310
Rv1547	dnaE1	Probable DNA polymerase III (alpha chain) DnaE1 (DNA nucleotidyltransferase)	CDS	1747694	1751248	+	CDS_NC_000962.3_1747694_1751248
Rv1549	fadD11.1	Possible fatty-acid-CoA ligase FadD11.1 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	CDS	1753510	1754037	+	CDS_NC_000962.3_1753510_1754037
Rv1577c	Rv1577c	Probable PhiRv1 phage protein	CDS	1782072	1782584	-	CDS_NC_000962.3_1782072_1782584
Rv1594	nadA	Probable quinolinate synthetase NadA	CDS	1794756	1795805	+	CDS_NC_000962.3_1794756_1795805
Rv1553	frdB	Probable fumarate reductase [iron-sulfur subunit] FrdB (fumarate dehydrogenase) (fumaric hydrogenase)	CDS	1759435	1760178	+	CDS_NC_000962.3_1759435_1760178
Rv1554	frdC	Probable fumarate reductase [membrane anchor subunit] FrdC (fumarate dehydrogenase) (fumaric hydrogenase)	CDS	1760175	1760555	+	CDS_NC_000962.3_1760175_1760555
Rv1555	frdD	Probable fumarate reductase [membrane anchor subunit] FrdD (fumarate dehydrogenase) (fumaric hydrogenase)	CDS	1760552	1760929	+	CDS_NC_000962.3_1760552_1760929
Rv1578c	Rv1578c	Probable PhiRv1 phage protein	CDS	1782758	1783228	-	CDS_NC_000962.3_1782758_1783228
Rv1559	ilvA	Probable threonine dehydratase IlvA	CDS	1763428	1764717	+	CDS_NC_000962.3_1763428_1764717
Rv1563c	treY	Maltooligosyltrehalose synthase TreY	CDS	1767135	1769432	-	CDS_NC_000962.3_1767135_1769432
Rv1566c	Rv1566c	Possible Inv protein	CDS	1773928	1774620	-	CDS_NC_000962.3_1773928_1774620
Rv1569	bioF1	Probable 8-amino-7-oxononanoate synthase BioF1 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase)	CDS	1776702	1777862	+	CDS_NC_000962.3_1776702_1777862
Rv1570	bioD	Dethiobiotin synthetase BioD	CDS	1777859	1778539	+	CDS_NC_000962.3_1777859_1778539
Rv1574	Rv1574	Probable PhiRv1 phage related protein	CDS	1779930	1780241	+	CDS_NC_000962.3_1779930_1780241
Rv1581c	Rv1581c	Probable PhiRv1 phage protein	CDS	1783906	1784301	-	CDS_NC_000962.3_1783906_1784301
Rv1583c	Rv1583c	Probable PhiRv1 phage protein	CDS	1785912	1786310	-	CDS_NC_000962.3_1785912_1786310
Rv1585c	Rv1585c	Possible phage PhiRv1 protein	CDS	1786584	1787099	-	CDS_NC_000962.3_1786584_1787099
Rv1587c	Rv1587c	Partial REP13E12 repeat protein	CDS	1788162	1789163	-	CDS_NC_000962.3_1788162_1789163
Rv1588c	Rv1588c	Partial REP13E12 repeat protein	CDS	1789168	1789836	-	CDS_NC_000962.3_1789168_1789836
Rv1589	bioB	Probable biotin synthetase BioB	CDS	1790284	1791333	+	CDS_NC_000962.3_1790284_1791333
Rv1592c	Rv1592c	Conserved hypothetical protein	CDS	1792400	1793740	-	CDS_NC_000962.3_1792400_1793740
Rv1596	nadC	Probable nicotinate-nucleotide pyrophosphatase NadC	CDS	1797388	1798245	+	CDS_NC_000962.3_1797388_1798245
Rv1597	Rv1597	Hypothetical protein	CDS	1798294	1799052	+	CDS_NC_000962.3_1798294_1799052
Rv1598c	Rv1598c	Conserved protein	CDS	1799073	1799483	-	CDS_NC_000962.3_1799073_1799483
Rv1648	Rv1648	Probable transmembrane protein	CDS	1857731	1858537	+	CDS_NC_000962.3_1857731_1858537
Rv1718	Rv1718	Conserved hypothetical protein	CDS	1944809	1945627	+	CDS_NC_000962.3_1944809_1945627
Rv1725c	Rv1725c	Conserved hypothetical protein	CDS	1951041	1951751	-	CDS_NC_000962.3_1951041_1951751
Rv1599	hisD	Probable histidinol dehydrogenase HisD (HDH)	CDS	1799583	1800899	+	CDS_NC_000962.3_1799583_1800899
Rv1602	hisH	Probable amidotransferase HisH	CDS	1802664	1803284	+	CDS_NC_000962.3_1802664_1803284
Rv1603	hisA	Probable phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase HisA	CDS	1803294	1804031	+	CDS_NC_000962.3_1803294_1804031
Rv1604	impA	Probable inositol-monophosphatase ImpA (imp)	CDS	1804039	1804851	+	CDS_NC_000962.3_1804039_1804851
Rv1605	hisF	Probable cyclase HisF	CDS	1804853	1805656	+	CDS_NC_000962.3_1804853_1805656
Rv1613	trpA	Probable tryptophan synthase, alpha subunit TrpA	CDS	1812359	1813171	+	CDS_NC_000962.3_1812359_1813171
Rv2132	Rv2132	Conserved hypothetical protein	CDS	2393411	2393641	+	CDS_NC_000962.3_2393411_2393641
Rv1608c	bcpB	Probable peroxidoxin BcpB	CDS	1807298	1807762	-	CDS_NC_000962.3_1807298_1807762
Rv1610	Rv1610	Possible conserved membrane protein	CDS	1809443	1810150	+	CDS_NC_000962.3_1809443_1810150
Rv1611	trpC	Probable indole-3-glycerol phosphate synthase TrpC	CDS	1810240	1811058	+	CDS_NC_000962.3_1810240_1811058
Rv1628c	Rv1628c	Conserved protein	CDS	1830070	1830561	-	CDS_NC_000962.3_1830070_1830561
Rv1614	lgt	Possible prolipoprotein diacylglyceryl transferases Lgt	CDS	1813171	1814577	+	CDS_NC_000962.3_1813171_1814577
Rv1616	Rv1616	Conserved membrane protein	CDS	1815683	1816081	+	CDS_NC_000962.3_1815683_1816081
Rv1617	pykA	Probable pyruvate kinase PykA	CDS	1816189	1817607	+	CDS_NC_000962.3_1816189_1817607
Rv1618	tesB1	Probable acyl-CoA thioesterase II TesB1	CDS	1817615	1818517	+	CDS_NC_000962.3_1817615_1818517
Rv1619	Rv1619	Conserved membrane protein	CDS	1818575	1820029	+	CDS_NC_000962.3_1818575_1820029
Rv1621c	cydD	Probable 'component linked with the assembly of cytochrome' transport transmembrane ATP-binding protein ABC transporter CydD	CDS	1821690	1823273	-	CDS_NC_000962.3_1821690_1823273
Rv1622c	cydB	Probable integral membrane cytochrome D ubiquinol oxidase (subunit II) CydB (cytochrome BD-I oxidase subunit II)	CDS	1823360	1824400	-	CDS_NC_000962.3_1823360_1824400
Rv1631	coaE	Probable dephospho-CoA kinase CoaE (dephosphocoenzyme a kinase)	CDS	1835013	1836236	+	CDS_NC_000962.3_1835013_1836236
Rv1638	uvrA	Probable excinuclease ABC (subunit A - DNA-binding ATPase) UvrA	CDS	1843741	1846659	+	CDS_NC_000962.3_1843741_1846659
Rv1640c	lysX	Lysyl-tRNA synthetase 2 LysX	CDS	1848517	1852035	-	CDS_NC_000962.3_1848517_1852035
Rv1624c	Rv1624c	Probable conserved membrane protein	CDS	1825998	1826585	-	CDS_NC_000962.3_1825998_1826585
Rv1626	Rv1626	Probable two-component system transcriptional regulator	CDS	1828180	1828797	+	CDS_NC_000962.3_1828180_1828797
Rv1627c	Rv1627c	Probable nonspecific lipid-transfer protein	CDS	1828865	1830073	-	CDS_NC_000962.3_1828865_1830073
Rv1639c	Rv1639c	Conserved hypothetical membrane protein	CDS	1846989	1848458	-	CDS_NC_000962.3_1846989_1848458
Rv1645c	Rv1645c	Conserved hypothetical protein	CDS	1854399	1855454	-	CDS_NC_000962.3_1854399_1855454
Rv1954c	Rv1954c	Hypothetical protein	CDS	2201223	2201744	-	CDS_NC_000962.3_2201223_2201744
Rv1634	Rv1634	Possible drug efflux membrane protein	CDS	1839168	1840583	+	CDS_NC_000962.3_1839168_1840583
Rv1635c	Rv1635c	Probable mannosyltransferase. Probable conserved transmembrane protein.	CDS	1840572	1842242	-	CDS_NC_000962.3_1840572_1842242
Rv1636	TB15.3	Iron-regulated universal stress protein family protein TB15.3	CDS	1842451	1842891	+	CDS_NC_000962.3_1842451_1842891
Rv1637c	Rv1637c	Conserved protein	CDS	1842898	1843692	-	CDS_NC_000962.3_1842898_1843692
Rv1646	PE17	PE family protein PE17	CDS	1855764	1856696	+	CDS_NC_000962.3_1855764_1856696
Rv1675c	cmr	Probable transcriptional regulatory protein Cmr	CDS	1900241	1900975	-	CDS_NC_000962.3_1900241_1900975
Rv1642	rpmI	50S ribosomal protein L35 RpmI	CDS	1852928	1853122	+	CDS_NC_000962.3_1852928_1853122
Rv1693	Rv1693	Conserved hypothetical protein	CDS	1917756	1917932	+	CDS_NC_000962.3_1917756_1917932
Rv1643	rplT	50S ribosomal protein L20 RplT	CDS	1853184	1853573	+	CDS_NC_000962.3_1853184_1853573
Rv1644	tsnR	Possible 23S rRNA methyltransferase TsnR	CDS	1853606	1854388	+	CDS_NC_000962.3_1853606_1854388
Rv1647	Rv1647	Adenylate cyclase (ATP pyrophosphate-lyase) (adenylyl cyclase)	CDS	1856774	1857724	+	CDS_NC_000962.3_1856774_1857724
Rv1649	pheS	Probable phenylalanyl-tRNA synthetase, alpha chain PheS	CDS	1858733	1859758	+	CDS_NC_000962.3_1858733_1859758
Rv1656	argF	Probable ornithine carbamoyltransferase, anabolic ArgF	CDS	1869922	1870845	+	CDS_NC_000962.3_1869922_1870845
Rv1740	vapB34	Possible antitoxin VapB34	CDS	1967705	1967917	+	CDS_NC_000962.3_1967705_1967917
Rv1652	argC	Probable N-acetyl-gamma-glutamyl-phoshate reductase ArgC	CDS	1865576	1866634	+	CDS_NC_000962.3_1865576_1866634
Rv1653	argJ	Probable glutamate N-acetyltransferase ArgJ	CDS	1866631	1867845	+	CDS_NC_000962.3_1866631_1867845
Rv1654	argB	Probable acetylglutamate kinase ArgB	CDS	1867842	1868726	+	CDS_NC_000962.3_1867842_1868726
Rv1655	argD	Probable acetylornithine aminotransferase ArgD	CDS	1868723	1869925	+	CDS_NC_000962.3_1868723_1869925
Rv1685c	Rv1685c	Conserved hypothetical protein	CDS	1910776	1911399	-	CDS_NC_000962.3_1910776_1911399
Rv1658	argG	Probable argininosuccinate synthase ArgG	CDS	1871363	1872559	+	CDS_NC_000962.3_1871363_1872559
Rv1659	argH	Probable argininosuccinate lyase ArgH	CDS	1872639	1874051	+	CDS_NC_000962.3_1872639_1874051
Rv1660	pks10	Chalcone synthase Pks10	CDS	1874160	1875221	+	CDS_NC_000962.3_1874160_1875221
Rv1661	pks7	Probable polyketide synthase Pks7	CDS	1875304	1881684	+	CDS_NC_000962.3_1875304_1881684
Rv1662	pks8	Probable polyketide synthase Pks8	CDS	1881704	1886512	+	CDS_NC_000962.3_1881704_1886512
Rv1944c	Rv1944c	Conserved protein	CDS	2195344	2195934	-	CDS_NC_000962.3_2195344_2195934
Rv1951c	Rv1951c	Conserved hypothetical protein	CDS	2200190	2200486	-	CDS_NC_000962.3_2200190_2200486
Rv1667c	Rv1667c	Probable second part of macrolide-transport ATP-binding protein ABC transporter	CDS	1893577	1894230	-	CDS_NC_000962.3_1893577_1894230
Rv1664	pks9	Probable polyketide synthase Pks9	CDS	1888026	1891079	+	CDS_NC_000962.3_1888026_1891079
Rv1702c	Rv1702c	Conserved hypothetical protein	CDS	1927211	1928575	-	CDS_NC_000962.3_1927211_1928575
Rv1669	Rv1669	Hypothetical protein	CDS	1895725	1896087	+	CDS_NC_000962.3_1895725_1896087
Rv1670	Rv1670	Conserved hypothetical protein	CDS	1896120	1896467	+	CDS_NC_000962.3_1896120_1896467
Rv1673c	Rv1673c	Conserved hypothetical protein	CDS	1898300	1899232	-	CDS_NC_000962.3_1898300_1899232
Rv1674c	Rv1674c	Probable transcriptional regulatory protein	CDS	1899260	1899916	-	CDS_NC_000962.3_1899260_1899916
Rv1677	dsbF	Probable conserved lipoprotein DsbF	CDS	1901748	1902296	+	CDS_NC_000962.3_1901748_1902296
Rv1678	Rv1678	Probable integral membrane protein	CDS	1902397	1903299	+	CDS_NC_000962.3_1902397_1903299
Rv1680	Rv1680	Hypothetical protein	CDS	1904429	1905253	+	CDS_NC_000962.3_1904429_1905253
Rv1681	moeX	Possible molybdopterin biosynthesis protein MoeX	CDS	1905250	1906242	+	CDS_NC_000962.3_1905250_1906242
Rv1682	Rv1682	Probable coiled-coil structural protein	CDS	1906403	1907320	+	CDS_NC_000962.3_1906403_1907320
Rv1684	Rv1684	Conserved hypothetical protein	CDS	1910586	1910810	+	CDS_NC_000962.3_1910586_1910810
Rv1686c	Rv1686c	Probable conserved integral membrane protein ABC transporter	CDS	1911401	1912081	-	CDS_NC_000962.3_1911401_1912081
Rv1769	Rv1769	Conserved protein	CDS	2002626	2003870	+	CDS_NC_000962.3_2002626_2003870
Rv1688	mpg	Possible 3-methyladenine DNA glycosylase Mpg	CDS	1912979	1913590	+	CDS_NC_000962.3_1912979_1913590
Rv1689	tyrS	Probable tyrosyl-tRNA synthase TyrS (TYRRS)	CDS	1913602	1914876	+	CDS_NC_000962.3_1913602_1914876
Rv1690	lprJ	Probable lipoprotein LprJ	CDS	1915527	1915910	+	CDS_NC_000962.3_1915527_1915910
Rv1691	Rv1691	Conserved hypothetical protein	CDS	1915949	1916701	+	CDS_NC_000962.3_1915949_1916701
Rv1692	Rv1692	Probable phosphatase	CDS	1916698	1917759	+	CDS_NC_000962.3_1916698_1917759
Rv1697	Rv1697	Conserved hypothetical protein	CDS	1921542	1922723	+	CDS_NC_000962.3_1921542_1922723
Rv1705c	PPE22	PPE family protein PPE22	CDS	1931497	1932654	-	CDS_NC_000962.3_1931497_1932654
Rv1695	ppnK	Inorganic polyphosphate/ATP-NAD kinase PpnK (poly(P)/ATP NAD kinase)	CDS	1918746	1919669	+	CDS_NC_000962.3_1918746_1919669
Rv1696	recN	Probable DNA repair protein RecN (recombination protein N)	CDS	1919683	1921446	+	CDS_NC_000962.3_1919683_1921446
Rv1698	mctB	Outer membrane protein MctB	CDS	1922745	1923689	+	CDS_NC_000962.3_1922745_1923689
Rv1699	pyrG	Probable CTP synthase PyrG	CDS	1923829	1925589	+	CDS_NC_000962.3_1923829_1925589
Rv1700	Rv1700	NUDIX hydrolase	CDS	1925582	1926205	+	CDS_NC_000962.3_1925582_1926205
Rv1701	Rv1701	Probable integrase/recombinase	CDS	1926202	1927137	+	CDS_NC_000962.3_1926202_1927137
Rv1706c	PPE23	PPE family protein PPE23	CDS	1932694	1933878	-	CDS_NC_000962.3_1932694_1933878
Rv1706A	Rv1706A	Conserved hypothetical protein	CDS	1934482	1934649	-	CDS_NC_000962.3_1934482_1934649
Rv1708	Rv1708	Putative initiation inhibitor protein	CDS	1936360	1937316	+	CDS_NC_000962.3_1936360_1937316
Rv1717	Rv1717	Conserved hypothetical protein	CDS	1944406	1944756	+	CDS_NC_000962.3_1944406_1944756
Rv1758	cut1	Probable cutinase Cut1	CDS	1989042	1989566	+	CDS_NC_000962.3_1989042_1989566
Rv2036	Rv2036	Conserved hypothetical protein	CDS	2282099	2282740	+	CDS_NC_000962.3_2282099_2282740
Rv1710	scpB	Possible segregation and condensation protein ScpB	CDS	1938146	1938841	+	CDS_NC_000962.3_1938146_1938841
Rv1711	Rv1711	Conserved hypothetical protein	CDS	1938838	1939602	+	CDS_NC_000962.3_1938838_1939602
Rv1712	cmk	Cytidylate kinase Cmk (CMP kinase) (cytidine monophosphate kinase) (ck)	CDS	1939599	1940291	+	CDS_NC_000962.3_1939599_1940291
Rv1713	engA	Probable GTP-binding protein EngA	CDS	1940288	1941679	+	CDS_NC_000962.3_1940288_1941679
Rv1714	Rv1714	Probable oxidoreductase	CDS	1941853	1942665	+	CDS_NC_000962.3_1941853_1942665
Rv1728c	Rv1728c	Conserved hypothetical protein	CDS	1953864	1954634	-	CDS_NC_000962.3_1953864_1954634
Rv1734c	Rv1734c	Conserved hypothetical protein	CDS	1960774	1961016	-	CDS_NC_000962.3_1960774_1961016
Rv1716	Rv1716	Conserved hypothetical protein	CDS	1943576	1944406	+	CDS_NC_000962.3_1943576_1944406
Rv1719	Rv1719	Probable transcriptional regulatory protein	CDS	1945641	1946420	+	CDS_NC_000962.3_1945641_1946420
Rv1720c	vapC12	Possible toxin VapC12	CDS	1947030	1947419	-	CDS_NC_000962.3_1947030_1947419
Rv1723	Rv1723	Probable hydrolase	CDS	1949342	1950589	+	CDS_NC_000962.3_1949342_1950589
Rv1726	Rv1726	Probable oxidoreductase	CDS	1951852	1953237	+	CDS_NC_000962.3_1951852_1953237
Rv1727	Rv1727	Conserved hypothetical protein	CDS	1953270	1953839	+	CDS_NC_000962.3_1953270_1953839
Rv1730c	Rv1730c	Possible penicillin-binding protein	CDS	1955692	1957245	-	CDS_NC_000962.3_1955692_1957245
Rv1732c	Rv1732c	Conserved protein	CDS	1959243	1959791	-	CDS_NC_000962.3_1959243_1959791
Rv1733c	Rv1733c	Probable conserved transmembrane protein	CDS	1959855	1960487	-	CDS_NC_000962.3_1959855_1960487
Rv1788	PE18	PE family protein PE18	CDS	2026477	2026776	+	CDS_NC_000962.3_2026477_2026776
Rv1738	Rv1738	Conserved protein	CDS	1965657	1965941	+	CDS_NC_000962.3_1965657_1965941
Rv1741	vapC34	Possible toxin VapC34. Contains PIN domain.	CDS	1967917	1968165	+	CDS_NC_000962.3_1967917_1968165
Rv1742	Rv1742	Unknown protein	CDS	1968173	1968910	+	CDS_NC_000962.3_1968173_1968910
Rv1755c	plcD	Probable phospholipase C 4 (fragment) PlcD	CDS	1986854	1987696	-	CDS_NC_000962.3_1986854_1987696
Rv1756c	Rv1756c	Putative transposase	CDS	1987745	1988731	-	CDS_NC_000962.3_1987745_1988731
