Transcription-Units	Transcription units - binding sites	Transcription units - promoter of operon	Sequence - coordinates of DNA region	Genes of transcription unit	Ontology -  all instances of class	Ontology - all ancestors of entity	Ontology - all subclasses of class	Regulation - regulator proteins of transcription unit	Transcription units - regulators of operon	Names	Object ID	Direction	Left-End-Position	Citations	Data-Source
TU185E-5296			[TU185E-5296 316,511 &larr; 321,154]	G185E-4388 // G185E-4387		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5296	-		:EV-COMP-AINF:3743282480:fulcher	
TU185E-7641			[TU185E-7641 622,121 &larr; 622,282]	G185E-4663		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7641	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282594:fulcher	
TU185E-6260			[TU185E-6260 2,395,301 &larr; 2,396,838]	G185E-6342 // G185E-6341		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6260	-		:EV-COMP-AINF:3743282526:fulcher	
TU185E-5664			[TU185E-5664 1,074,440 &larr; 1,075,114]	G185E-5118		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5664	-		:EV-COMP-AINF:3743282498:fulcher	
TU185E-6628			[TU185E-6628 3,110,780 &larr; 3,111,823]	G185E-7052		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6628	-		:EV-COMP-AINF:3743282544:fulcher	
TU185E-6993			[TU185E-6993 3,995,804 &larr; 3,996,964]	G185E-7833		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6993	-		:EV-COMP-AINF:3743282562:fulcher	
TU185E-5158			[TU185E-5158 5,240 &rarr; 9,818]	G185E-4117 // G185E-4116		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5158	+		:EV-COMP-AINF:3743282474:fulcher	
TU185E-7361			[TU185E-7361 2,945,330 &rarr; 2,945,830]	G185E-6860		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7361	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282580:fulcher	
TU185E-5280			[TU185E-5280 287,186 &rarr; 288,352]	G185E-4358		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5280	+		:EV-COMP-AINF:3743282480:fulcher	
TU185E-7625			[TU185E-7625 841,737 &larr; 841,874]	G185E-4895		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7625	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282593:fulcher	
TU185E-6244			[TU185E-6244 2,360,240 &rarr; 2,363,281]	G185E-6307		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6244	+		:EV-COMP-AINF:3743282525:fulcher	
TU185E-5648			[TU185E-5648 1,034,903 &rarr; 1,037,925]	G185E-5085 // G185E-5084 // G185E-5083		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5648	+		:EV-COMP-AINF:3743282497:fulcher	
TU185E-6612			[TU185E-6612 3,081,119 &larr; 3,082,756]	G185E-7023 // G185E-7022 // G185E-7021		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6612	-		:EV-COMP-AINF:3743282543:fulcher	
TU185E-6977			[TU185E-6977 3,957,521 &rarr; 3,960,713]	G185E-7800 // G185E-7799 // G185E-7798		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6977	+		:EV-COMP-AINF:3743282562:fulcher	
TU185E-6974			[TU185E-6974 3,939,617 &rarr; 3,944,963]	G185E-7789 // G185E-7788		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6974	+		:EV-COMP-AINF:3743282561:fulcher	
TU185E-7342			[TU185E-7342 3,074,636 &rarr; 3,075,373]	G185E-7014		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7342	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282579:fulcher	
TU185E-5261			[TU185E-5261 230,899 &rarr; 231,534]	G185E-4315		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5261	+		:EV-COMP-AINF:3743282479:fulcher	
TU185E-7606			[TU185E-7606 940,456 &larr; 941,106]	G185E-4998		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7606	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282592:fulcher	
TU185E-6225			[TU185E-6225 2,317,169 &larr; 2,320,753]	G185E-6266		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6225	-		:EV-COMP-AINF:3743282525:fulcher	
TU185E-5629			[TU185E-5629 1,000,808 &larr; 1,002,704]	G185E-5052 // G185E-5051		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5629	-		:EV-COMP-AINF:3743282496:fulcher	
TU185E-6593			[TU185E-6593 3,047,560 &larr; 3,051,424]	G185E-6985 // G185E-6984 // G185E-6983		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6593	-		:EV-COMP-AINF:3743282542:fulcher	
TU185E-6958			[TU185E-6958 3,890,830 &rarr; 3,892,091]	G185E-7752 // G185E-7751		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6958	+		:EV-COMP-AINF:3743282561:fulcher	
TU185E-7326			[TU185E-7326 3,313,283 &rarr; 3,313,672]	G185E-7215		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7326	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282578:fulcher	
TU185E-7590			[TU185E-7590 1,052,360 &rarr; 1,052,638]	G185E-5097		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7590	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282591:fulcher	
TU185E-6209			[TU185E-6209 2,266,421 &larr; 2,266,720]	G185E-6222		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6209	-		:EV-COMP-AINF:3743282524:fulcher	
TU185E-5613			[TU185E-5613 962,599 &rarr; 964,294]	G185E-5020 // G185E-5019 // G185E-5018 // G185E-5017		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5613	+		:EV-COMP-AINF:3743282495:fulcher	
TU185E-6577			[TU185E-6577 3,021,839 &rarr; 3,022,285]	G185E-6957		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6577	+		:EV-COMP-AINF:3743282541:fulcher	
TU185E-6942			[TU185E-6942 3,863,317 &larr; 3,868,238]	G185E-7724 // G185E-7723		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6942	-		:EV-COMP-AINF:3743282560:fulcher	
TU185E-7310			[TU185E-7310 3,395,379 &rarr; 3,396,461]	G185E-7296		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7310	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282577:fulcher	
TU185E-7574			[TU185E-7574 1,169,423 &rarr; 1,170,670]	G185E-5207		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7574	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282590:fulcher	
TU185E-6193			[TU185E-6193 2,238,141 &rarr; 2,238,908]	G185E-6197		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6193	+		:EV-COMP-AINF:3743282523:fulcher	
TU185E-5597			[TU185E-5597 923,803 &larr; 923,875]	G185E-4982		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5597	-		:EV-COMP-AINF:3743282494:fulcher	
TU185E-6561			[TU185E-6561 2,990,706 &rarr; 2,991,116]	G185E-6922		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6561	+		:EV-COMP-AINF:3743282541:fulcher	
TU185E-5964			[TU185E-5964 1,736,519 &rarr; 1,739,644]	G185E-5724		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5964	+		:EV-COMP-AINF:3743282512:fulcher	
TU185E-6926			[TU185E-6926 3,836,986 &larr; 3,837,288]	G185E-7695		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6926	-		:EV-COMP-AINF:3743282559:fulcher	
TU185E-7294			[TU185E-7294 3,509,118 &larr; 3,509,546]	G185E-7407		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7294	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282576:fulcher	
TU185E-7558			[TU185E-7558 1,278,904 &larr; 1,279,617]	G185E-5318		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7558	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282590:fulcher	
TU185E-6177			[TU185E-6177 2,219,754 &rarr; 2,220,800]	G185E-6176		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6177	+		:EV-COMP-AINF:3743282522:fulcher	
TU185E-5581			[TU185E-5581 904,905 &larr; 905,087]	G185E-4959		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5581	-		:EV-COMP-AINF:3743282494:fulcher	
TU185E-6545			[TU185E-6545 2,969,497 &larr; 2,969,568]	G185E-6889		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6545	-		:EV-COMP-AINF:3743282540:fulcher	
TU185E-5948			[TU185E-5948 1,696,727 &larr; 1,697,422]	G185E-5693		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5948	-		:EV-COMP-AINF:3743282511:fulcher	
TU185E-6910			[TU185E-6910 3,800,092 &rarr; 3,801,463]	G185E-7663 // G185E-7662		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6910	+		:EV-COMP-AINF:3743282558:fulcher	
TU185E-7278			[TU185E-7278 3,611,300 &rarr; 3,611,941]	G185E-7509		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7278	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282576:fulcher	
TU185E-7542			[TU185E-7542 1,355,836 &rarr; 1,357,050]	G185E-5383		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7542	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282589:fulcher	
TU185E-6161			[TU185E-6161 2,171,061 &larr; 2,171,525]	G185E-6116		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6161	-		:EV-COMP-AINF:3743282521:fulcher	
TU185E-5565			[TU185E-5565 867,440 &larr; 868,351]	G185E-4922		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5565	-		:EV-COMP-AINF:3743282493:fulcher	
TU185E-6529			[TU185E-6529 2,952,562 &larr; 2,952,993]	G185E-6870		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6529	-		:EV-COMP-AINF:3743282539:fulcher	
TU185E-5932			[TU185E-5932 1,662,641 &larr; 1,666,046]	G185E-5659 // G185E-5658		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5932	-		:EV-COMP-AINF:3743282511:fulcher	
TU185E-6894			[TU185E-6894 3,769,514 &larr; 3,770,649]	G185E-7632 // G185E-7631		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6894	-		:EV-COMP-AINF:3743282557:fulcher	
TU185E-7262			[TU185E-7262 3,780,978 &rarr; 3,781,412]	G185E-7645		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7262	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282575:fulcher	
TU185E-7526			[TU185E-7526 1,547,072 &larr; 1,547,530]	G185E-5556		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7526	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282588:fulcher	
TU185E-6145			[TU185E-6145 2,138,661 &larr; 2,139,017]	G185E-6085		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6145	-		:EV-COMP-AINF:3743282521:fulcher	
TU185E-5549			[TU185E-5549 833,886 &larr; 834,946]	G185E-4889 // G185E-4888		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5549	-		:EV-COMP-AINF:3743282492:fulcher	
TU185E-6513			[TU185E-6513 2,917,871 &rarr; 2,921,377]	G185E-6832		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6513	+		:EV-COMP-AINF:3743282539:fulcher	
TU185E-5916			[TU185E-5916 1,606,386 &rarr; 1,607,972]	G185E-5613		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5916	+		:EV-COMP-AINF:3743282510:fulcher	
TU185E-6878			[TU185E-6878 3,714,392 &rarr; 3,715,708]	G185E-7605		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6878	+		:EV-COMP-AINF:3743282556:fulcher	
TU185E-7246			[TU185E-7246 3,906,174 &larr; 3,907,007]	G185E-7764		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7246	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282574:fulcher	
TU185E-7510			[TU185E-7510 1,640,680 &rarr; 1,641,543]	G185E-5638		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7510	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282587:fulcher	
TU185E-6129			[TU185E-6129 2,110,591 &larr; 2,112,966]	G185E-6060 // G185E-6059 // G185E-6058		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6129	-		:EV-COMP-AINF:3743282520:fulcher	
TU185E-5533			[TU185E-5533 809,946 &rarr; 810,887]	G185E-4857		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5533	+		:EV-COMP-AINF:3743282491:fulcher	
TU185E-6497			[TU185E-6497 2,877,072 &rarr; 2,877,746]	G185E-6797		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6497	+		:EV-COMP-AINF:3743282538:fulcher	
TU185E-5901			[TU185E-5901 1,568,109 &larr; 1,570,969]	G185E-5577 // G185E-5576		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5901	-		:EV-COMP-AINF:3743282509:fulcher	
TU185E-6862			[TU185E-6862 3,672,328 &rarr; 3,675,086]	G185E-7567 // G185E-7566		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6862	+		:EV-COMP-AINF:3743282556:fulcher	
TU185E-7230			[TU185E-7230 4,062,527 &rarr; 4,063,249]	G185E-7902		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7230	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282574:fulcher	
TU185E-7494			[TU185E-7494 1,842,451 &rarr; 1,842,891]	G185E-5825		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7494	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282586:fulcher	
TU185E-6113			[TU185E-6113 2,075,571 &rarr; 2,075,828]	G185E-6026		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6113	+		:EV-COMP-AINF:3743282519:fulcher	
TU185E-5517			[TU185E-5517 781,560 &rarr; 782,404]	G185E-4826 // G185E-4825		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5517	+		:EV-COMP-AINF:3743282491:fulcher	
TU185E-6481			[TU185E-6481 2,835,785 &rarr; 2,837,263]	G185E-6757		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6481	+		:EV-COMP-AINF:3743282537:fulcher	
TU185E-5885			[TU185E-5885 1,531,348 &rarr; 1,532,370]	G185E-5540		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5885	+		:EV-COMP-AINF:3743282508:fulcher	
TU185E-6846			[TU185E-6846 3,635,041 &larr; 3,638,709]	G185E-7531 // G185E-7530 // G185E-7529		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6846	-		:EV-COMP-AINF:3743282555:fulcher	
TU185E-7214			[TU185E-7214 4,195,440 &rarr; 4,195,802]	G185E-8034		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7214	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282573:fulcher	
TU185E-7478			[TU185E-7478 2,007,020 &larr; 2,007,766]	G185E-5969		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7478	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282586:fulcher	
TU185E-6097			[TU185E-6097 2,051,282 &rarr; 2,052,688]	G185E-6004		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6097	+		:EV-COMP-AINF:3743282519:fulcher	
TU185E-5501			[TU185E-5501 742,719 &rarr; 747,945]	G185E-4793 // G185E-4792 // G185E-4791		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5501	+		:EV-COMP-AINF:3743282490:fulcher	
TU185E-6465			[TU185E-6465 2,794,350 &rarr; 2,795,120]	G185E-6722		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6465	+		:EV-COMP-AINF:3743282536:fulcher	
TU185E-5869			[TU185E-5869 1,485,862 &rarr; 1,487,031]	G185E-5502		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5869	+		:EV-COMP-AINF:3743282508:fulcher	
TU185E-6830			[TU185E-6830 3,603,377 &rarr; 3,605,718]	G185E-7502 // G185E-7501		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6830	+		:EV-COMP-AINF:3743282554:fulcher	
TU185E-7198			[TU185E-7198 4,306,867 &rarr; 4,307,658]	G185E-8129		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7198	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282572:fulcher	
TU185E-7462			[TU185E-7462 2,171,623 &rarr; 2,172,486]	G185E-6117		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7462	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282585:fulcher	
TU185E-6081			[TU185E-6081 2,028,425 &rarr; 2,029,477]	G185E-5985		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6081	+		:EV-COMP-AINF:3743282518:fulcher	
TU185E-5485			[TU185E-5485 716,410 &rarr; 717,059]	G185E-4762 // G185E-4761		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5485	+		:EV-COMP-AINF:3743282489:fulcher	
TU185E-6449			[TU185E-6449 2,762,531 &larr; 2,763,774]	G185E-6693 // G185E-6692		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6449	-		:EV-COMP-AINF:3743282535:fulcher	
TU185E-5853			[TU185E-5853 1,453,204 &rarr; 1,455,012]	G185E-5471		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5853	+		:EV-COMP-AINF:3743282507:fulcher	
TU185E-6814			[TU185E-6814 3,571,602 &larr; 3,572,543]	G185E-7469		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6814	-		:EV-COMP-AINF:3743282554:fulcher	
TU185E-7182			[TU185E-7182 4,387,365 &larr; 4,391,031]	G185E-8203 // G185E-8202 // G185E-8201 // G185E-8200		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7182	-		:EV-COMP-AINF:3743282571:fulcher	
TU185E-7446			[TU185E-7446 2,261,816 &larr; 2,263,072]	G185E-6217		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7446	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282584:fulcher	
TU185E-6065			[TU185E-6065 1,994,671 &larr; 1,995,842]	G185E-5957 // G185E-5956		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6065	-		:EV-COMP-AINF:3743282517:fulcher	
TU185E-5469			[TU185E-5469 697,904 &larr; 698,410]	G185E-4735		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5469	-		:EV-COMP-AINF:3743282489:fulcher	
TU185E-6433			[TU185E-6433 2,727,336 &larr; 2,727,920]	G185E-6661		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6433	-		:EV-COMP-AINF:3743282535:fulcher	
TU185E-5837			[TU185E-5837 1,417,658 &larr; 1,418,356]	G185E-5440		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5837	-		:EV-COMP-AINF:3743282506:fulcher	
TU185E-6798			[TU185E-6798 3,542,138 &rarr; 3,544,347]	G185E-7440 // G185E-7439		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6798	+		:EV-COMP-AINF:3743282553:fulcher	
TU185E-7166			[TU185E-7166 4,352,274 &rarr; 4,352,896]	G185E-8173 // G185E-8172		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7166	+		:EV-COMP-AINF:3743282571:fulcher	
TU185E-7430			[TU185E-7430 2,381,071 &rarr; 2,382,492]	G185E-6329		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7430	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282583:fulcher	
TU185E-6049			[TU185E-6049 1,960,774 &larr; 1,961,016]	G185E-5929		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6049	-		:EV-COMP-AINF:3743282516:fulcher	
TU185E-5453			[TU185E-5453 656,010 &larr; 657,470]	G185E-4698		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5453	-		:EV-COMP-AINF:3743282488:fulcher	
TU185E-6417			[TU185E-6417 2,693,909 &larr; 2,697,714]	G185E-6629 // G185E-6628 // G185E-6627 // G185E-6626		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6417	-		:EV-COMP-AINF:3743282534:fulcher	
TU185E-5821			[TU185E-5821 1,384,278 &rarr; 1,384,966]	G185E-5413 // G185E-5412		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5821	+		:EV-COMP-AINF:3743282505:fulcher	
TU185E-6782			[TU185E-6782 3,497,529 &larr; 3,500,749]	G185E-7398 // G185E-7397 // G185E-7396		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6782	-		:EV-COMP-AINF:3743282552:fulcher	
TU185E-7150			[TU185E-7150 4,317,073 &rarr; 4,317,165]	G185E-8141		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7150	+		:EV-COMP-AINF:3743282570:fulcher	
TU185E-6033			[TU185E-6033 1,923,829 &rarr; 1,927,137]	G185E-5892 // G185E-5891 // G185E-5890		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6033	+		:EV-COMP-AINF:3743282515:fulcher	
TU185E-5437			[TU185E-5437 626,457 &rarr; 628,288]	G185E-4669 // G185E-4668		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5437	+		:EV-COMP-AINF:3743282487:fulcher	
TU185E-6401			[TU185E-6401 2,652,037 &larr; 2,653,987]	G185E-6599 // G185E-6598		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6401	-		:EV-COMP-AINF:3743282533:fulcher	
TU185E-5805			[TU185E-5805 1,349,332 &rarr; 1,354,136]	G185E-5380 // G185E-5379 // G185E-5378 // G185E-5377 // G185E-5376		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5805	+		:EV-COMP-AINF:3743282504:fulcher	
TU185E-6766			[TU185E-6766 3,463,973 &rarr; 3,464,449]	G185E-7357		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6766	+		:EV-COMP-AINF:3743282551:fulcher	
TU185E-7134			[TU185E-7134 4,265,642 &larr; 4,273,475]	G185E-8105 // G185E-8104 // G185E-8103 // G185E-8102 // G185E-8101 // G185E-8100		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7134	-		:EV-COMP-AINF:3743282569:fulcher	
TU185E-6017			[TU185E-6017 1,875,304 &rarr; 1,891,079]	G185E-5854 // G185E-5853 // G185E-5852 // G185E-5851		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6017	+		:EV-COMP-AINF:3743282514:fulcher	
TU185E-5421			[TU185E-5421 593,871 &larr; 595,302]	G185E-4636 // G185E-4635		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5421	-		:EV-COMP-AINF:3743282486:fulcher	
TU185E-6385			[TU185E-6385 2,620,533 &larr; 2,623,752]	G185E-6570 // G185E-6569		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6385	-		:EV-COMP-AINF:3743282533:fulcher	
TU185E-5789			[TU185E-5789 1,309,005 &rarr; 1,310,452]	G185E-5347 // G185E-5346		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5789	+		:EV-COMP-AINF:3743282503:fulcher	
TU185E-6750			[TU185E-6750 3,421,741 &larr; 3,423,213]	G185E-7321		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6750	-		:EV-COMP-AINF:3743282550:fulcher	
TU185E-7118			[TU185E-7118 4,215,881 &larr; 4,216,269]	G185E-8063 // G185E-8062		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7118	-		:EV-COMP-AINF:3743282568:fulcher	
TU185E-6001			[TU185E-6001 1,825,998 &larr; 1,827,945]	G185E-5813 // G185E-5812		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6001	-		:EV-COMP-AINF:3743282514:fulcher	
TU185E-5405			[TU185E-5405 567,921 &larr; 569,806]	G185E-4608 // G185E-4607		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5405	-		:EV-COMP-AINF:3743282486:fulcher	
TU185E-6369			[TU185E-6369 2,591,848 &larr; 2,596,269]	G185E-6547 // G185E-6546 // G185E-6545 // G185E-6544 // G185E-6543		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6369	-		:EV-COMP-AINF:3743282532:fulcher	
TU185E-5773			[TU185E-5773 1,270,062 &rarr; 1,271,908]	G185E-5311 // G185E-5310		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5773	+		:EV-COMP-AINF:3743282503:fulcher	
TU185E-6734			[TU185E-6734 3,389,101 &rarr; 3,393,201]	G185E-7293 // G185E-7292 // G185E-7291 // G185E-7290		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6734	+		:EV-COMP-AINF:3743282550:fulcher	
TU185E-7102			[TU185E-7102 4,193,391 &larr; 4,195,373]	G185E-8033		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7102	-		:EV-COMP-AINF:3743282568:fulcher	
TU185E-5985			[TU185E-5985 1,784,497 &larr; 1,786,528]	G185E-5772 // G185E-5771 // G185E-5770		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5985	-		:EV-COMP-AINF:3743282513:fulcher	
TU185E-5389			[TU185E-5389 547,076 &larr; 547,517]	G185E-4583 // G185E-4582		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5389	-		:EV-COMP-AINF:3743282485:fulcher	
TU185E-6353			[TU185E-6353 2,573,015 &rarr; 2,573,707]	G185E-6519		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6353	+		:EV-COMP-AINF:3743282531:fulcher	
TU185E-5757			[TU185E-5757 1,232,844 &larr; 1,236,095]	G185E-5274 // G185E-5273 // G185E-5272 // G185E-5271		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5757	-		:EV-COMP-AINF:3743282502:fulcher	
TU185E-6718			[TU185E-6718 3,355,099 &rarr; 3,356,541]	G185E-7254		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6718	+		:EV-COMP-AINF:3743282549:fulcher	
TU185E-7086			[TU185E-7086 4,168,536 &rarr; 4,169,300]	G185E-8012		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7086	+		:EV-COMP-AINF:3743282567:fulcher	
TU185E-5373			[TU185E-5373 515,373 &larr; 515,816]	G185E-4551		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5373	-		:EV-COMP-AINF:3743282484:fulcher	
TU185E-7718			[TU185E-7718 43,562 &rarr; 46,471]	G185E-4155		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7718	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282597:fulcher	
TU185E-6337			[TU185E-6337 2,546,488 &larr; 2,547,087]	G185E-6492 // G185E-6491		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6337	-		:EV-COMP-AINF:3743282530:fulcher	
TU185E-5741			[TU185E-5741 1,214,040 &rarr; 1,214,360]	G185E-5250		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5741	+		:EV-COMP-AINF:3743282501:fulcher	
TU185E-6702			[TU185E-6702 3,318,330 &larr; 3,318,815]	G185E-7219		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6702	-		:EV-COMP-AINF:3743282548:fulcher	
